match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
South Africa Vs Zimbabwe,Zimbabwe,Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0,T20I # 1844
South Africa Vs Zimbabwe,Zimbabwe,Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1,T20I # 1844
South Africa Vs Zimbabwe,Zimbabwe,Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1,T20I # 1844
Australia Vs Sri Lanka,Australia,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,3,0,53,0,17.66,0,3,5,0,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0,T20I # 1845
England Vs Ireland,England,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0,T20I # 1846
England Vs Ireland,England,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0,T20I # 1846
England Vs Ireland,England,Mark Wood,4,0,34,3,8.50,13,4,1,2,0,T20I # 1846
England Vs Ireland,England,Sam Curran,3,0,31,2,10.33,7,1,2,0,0,T20I # 1846
England Vs Ireland,England,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0,T20I # 1846
England Vs Ireland,England,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0,T20I # 1846
England Vs Ireland,Ireland,Josh Little,3,0,16,2,5.33,11,2,0,2,0,T20I # 1846
England Vs Ireland,Ireland,Mark Adair,2,0,10,0,5.00,5,0,0,0,0,T20I # 1846
England Vs Ireland,Ireland,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0,T20I # 1846
England Vs Ireland,Ireland,Fionn Hand,2,0,17,1,8.50,6,1,0,4,0,T20I # 1846
England Vs Ireland,Ireland,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0,T20I # 1846
England Vs Ireland,Ireland,George Dockrell,1,0,5,1,5.00,2,0,0,0,0,T20I # 1846
Bangladesh Vs South Africa,Bangladesh,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0,T20I # 1847
Netherlands Vs India,Netherlands,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0,T20I # 1848
Netherlands Vs India,Netherlands,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0,T20I # 1848
Netherlands Vs India,Netherlands,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0,T20I # 1848
Netherlands Vs India,Netherlands,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0,T20I # 1848
Netherlands Vs India,Netherlands,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0,T20I # 1848
Netherlands Vs India,Netherlands,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0,T20I # 1848
Netherlands Vs India,India,Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0,T20I # 1848
Netherlands Vs India,India,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1,T20I # 1848
